segment_type,index,record,tau,m,beta_0,beta_1,beta_2,beta_0_total,beta_1_total,beta_2_total,beta_1_max_lifetime,beta_1_mean_lifetime,persistence_entropy
normal,0,101,16,5,387,9,1,799,203,18,0.49353110790252686,0.027748837700031073,6.390963696136369
normal,1,101,17,5,384,7,0,799,211,17,0.5915051996707916,0.0271890972568808,6.338572178544743
normal,2,101,16,5,373,12,3,799,188,22,0.48291462659835815,0.026318583409599167,6.279389486255909
normal,3,101,16,5,388,7,2,799,212,20,0.517254501581192,0.0249551686651583,6.363184926210066
normal,4,101,16,5,392,4,0,799,207,23,0.37647196650505066,0.023132992395456287,6.256631468212486
pre_arrhythmia,0,207,74,5,336,28,1,799,222,18,1.3551063537597656,0.02943470916366792,6.6662268151006465
pre_arrhythmia,1,207,74,5,338,30,0,799,216,11,1.2747269868850708,0.028509815154528176,6.666853897921912
pre_arrhythmia,2,207,74,5,335,23,0,799,203,11,1.1909205317497253,0.03059154587426209,6.665339771153766
pre_arrhythmia,3,207,74,5,334,24,0,799,212,12,1.3569958209991455,0.02875328837138302,6.668496938839091
pre_arrhythmia,4,207,74,5,343,28,0,799,201,10,1.1793776154518127,0.029544813085847825,6.654195955124872
